title,description,category,brand,presentation,fact_calories,fact_totalFat,fact_saturatedFats,fact_transFat,fact_polyUnsaturatedFats,fact_monoUnsaturatedFats,fact_cholesterol,fact_sodium,fact_totalCarbohydrates,fact_dietaryFiber,fact_sugar,fact_protein,fact_vitamin,fact_calcium,fact_iron,fact_potassium
papa,,6814f5240df72283c45030f4,,crudo,87,0.2,,,,,,12,20,1.8,1.4,2.3,0,9,0.7,545
zapallo,,6814f5240df72283c45030f4,,crudo,20,0.1,,,,,,1,4.9,1.1,2.1,0.7,0,15,0.6,230
tomate,,6814f5240df72283c45030f4,,crudo,27,0.6,,,,,,6,5.5,2.1,,0.8,,11,0.3,260
brócoli,,6814f5240df72283c45030f4,,crudo,35,0.4,0.1,,,,,41,7.2,3.3,1.4,2.4,0,40,0.7,293
repollo,,6814f5240df72283c45030f4,,crudo,25,1,,,,,,18,5.8,2.5,3.2,1.3,0,40,0.5,170
zanahoria,,6814f5240df72283c45030f4,,crudo,41,0.2,,,,,,69,9.6,2.8,4.7,0.9,0,33,0.3,320
palta,,6814f5240df72283c45030f4,,crudo,160,15,2.1,,,,,7,8.5,6.7,0.7,2,0,12,0.6,485
espinaca,,6814f5240df72283c45030f4,,cocido,23,0.3,,,,,,70,3.8,2.4,0.4,3,0,136,3.6,466
rúcula,,6814f5240df72283c45030f4,,crudo,25,0.7,0.1,,,,,27,3.7,1.6,2.1,2.6,0,160,1.5,369
banana,,6814f5240df72283c45030f4,,crudo,89,0.3,0.1,,,,,1,23,2.6,12,1.1,0,5,0.3,358
frutilla,,6814f5240df72283c45030f4,,crudo,32,0.3,,,,,,1,7.7,2,4.9,0.7,0,16,0.4,153
sandia,,6814f5240df72283c45030f4,,crudo,30,0.2,,,,,,1,7.6,0.4,6.2,0.6,0,7,0.2,112
durazno,,6814f5240df72283c45030f4,,crudo,39,0.3,,,,,,,9.5,1.5,8.4,0.8,0,6,0.3,190
mandarina,,6814f5240df72283c45030f4,,crudo,53,0.3,,,,,,2,13,1.8,11,0.8,0,37,0.2,166
arvejas,,6814f5320df72283c45030fa,,crudo,81,0.4,0.1,,,,,5,14,5.7,5.7,5.4,0,25,1.5,244
lentejas,,6814f5320df72283c45030fa,,cocido,116,0.4,0.1,,,,,2,20,7.9,1.8,9,0,19,3.3,369
porotos negros,,6814f5320df72283c45030fa,,crudo,132,0.5,0.1,,,,,1,24,8.7,0.3,8.9,0,27,2.1,355
quinoa,,6814f53a0df72283c45030fd,,crudo,120,1.9,0.2,,,,,7,21,2.8,0.9,4.4,0,17,1.5,172
nuez,,6814f53e0df72283c4503100,,crudo,579,50,3.8,,,,,1,22,13,4.4,21,0,269,3.7,733
almendra,,6814f53e0df72283c4503100,,crudo,579,50,3.8,,,,,1,22,13,4.4,21,0,269,3.7,733
castaña de cajú,,6814f53e0df72283c4503100,,crudo,579,50,3.8,,,,,1,22,13,4.4,21,0,269,3.7,733
chia,,6814f5430df72283c4503103,,crudo,500,30,3.3,,,,,,43,33,0,17,,667,9,
mostaza,,6814f54d0df72283c4503106,,paquete,60,3.3,0.2,,,,,1104,5.8,4,0.9,3.7,0,63,1.6,152
mayonesa,light,6814f54d0df72283c4503106,,paquete,333,33,6.7,,,,33,900,6.7,,0,,,,,
tomate en lata,,6814f54d0df72283c4503106,,lata,,,,,,,,,,,,,,,,
atún en lata,,6814f54d0df72283c4503106,,lata,,,,,,,,,,,,,,,,
harina trigo blanca,,6814f5530df72283c4503109,,paquete,,,,,,,,,,,,,,,,
harina trigo integral,,6814f5530df72283c4503109,,paquete,,,,,,,,,,,,,,,,
harina de maiz,,6814f5530df72283c4503109,,paquete,,,,,,,,,,,,,,,,
harina de garbanzo,,6814f5530df72283c4503109,,paquete,,,,,,,,,,,,,,,,
harina de arroz,,6814f5530df72283c4503109,,paquete,,,,,,,,,,,,,,,,
yogurt,,6814f55b0df72283c450310c,,,,,,,,,,,,,,,,,,
leche vegetal,,6814f55b0df72283c450310c,,tetrabrik,,,,,,,,,,,,,,,,
muzarella,,6814f55b0df72283c450310c,,fraccionada,,,,,,,,,,,,,,,,
aceite de oliva,,6814f5620df72283c450310f,,botella,884,100,14,,,,,2,,,,,,,,
aceite de girasol,,6814f5620df72283c450310f,,botella,884,100,50,,,,,,,,,,,,,
res,magra (10% grasa),6814f5690df72283c4503112,,crudo,176,10,3.9,,,,65,66,0,0,0,20,0.1,12,2.2,321
pollo,,6814f5690df72283c4503112,,crudo,162,9.2,2.6,,,,97,68,0,0,0,20,0,6.8,0.9,590
camarones,,6814f5690df72283c4503112,,crudo,85,0.5,0.1,,,,161,119,0,,,20,,64,0.5,264
mejillones,,6814f5690df72283c4503112,,crudo,85,0.5,0.1,,,,161,119,0,,,20,,64,0.5,264
calamar,,6814f5690df72283c4503112,,crudo,92,1.4,0.4,,,,233,44,3.1,0,0,16,0,32,0.7,246
pescado,atlántico,6814f5690df72283c4503112,,crudo,82,0.7,0.1,,,,43,54,0,0,0,18,0.9,16,0.4,413
