title,detail,group,category,calories,totalFats,saturatedFats,cholesterol,sodium,carbohydrates,fiber,proteins
pollo,crudo,689f67b40a0da4d7b746ca60,689f2682a3c403c269eb8f88,120,2.6,0.6,73,45,0,0,23
pescado,crudo - atlántico,689f67b40a0da4d7b746ca60,689f2682a3c403c269eb8f88,82,0.7,0.1,43,54,0,0,18
res ,"crudo, 80 magra - 20 grasa",689f67b40a0da4d7b746ca60,689f2682a3c403c269eb8f88,254,20,7.6,71,66,0,0,17
res ,"crudo, 95 magra - 5 grasa",689f67b40a0da4d7b746ca60,689f2682a3c403c269eb8f88,137,5,2.2,62,66,0,0,21
huevo,-,689f67b40a0da4d7b746ca60,689f672d0a0da4d7b746ca55,143,9.5,3.1,372,142,0.7,0,13
leche vegetal,sin endulzar,68b1918a153383607ab87865,689f2930802f38726b98c0cf,13,1.1,0,,64,0.3,0.1,0.6
yogurt,sin endulzar,68b1918a153383607ab87865,689f2930802f38726b98c0cf,81.5,3.15,1.8,84,0,6,0,6
queso portsalut,light,68b1918a153383607ab87865,689f2930802f38726b98c0cf,,,,,,,,
arroz,"crudo, blanco",689f67bb0a0da4d7b746ca63,689f670d0a0da4d7b746ca46,360,0.6,0.2,,1,79,1.4,6.6
arroz,"crudo, integral",689f67bb0a0da4d7b746ca63,689f670d0a0da4d7b746ca46,330,3.3,,,,78,6.7,6.7
trigo burgol,crudo,689f67bb0a0da4d7b746ca63,689f670d0a0da4d7b746ca46,200,0,0,,38,0.1,,20
quinoa,crudo,689f67bb0a0da4d7b746ca63,689f670d0a0da4d7b746ca46,368,6.1,0.7,,5,64,7,14
fideos de arroz,cocido,689f67bb0a0da4d7b746ca63,689f674f0a0da4d7b746ca5c,108,0.2,,,19,24,1,1.8
salsa de soja,-,68b1918a153383607ab87865,689f67210a0da4d7b746ca4f,140,0,0,,3200,30,0,0.5
salsa de ostras,-,68b1918a153383607ab87865,689f67210a0da4d7b746ca4f,75,0,0,,7083,4,0,0
aceite de oliva,-,689f67c40a0da4d7b746ca66,689f67030a0da4d7b746ca43,900,100,16,,2,0,0,0
aceite de sesamo,-,68b1918a153383607ab87865,689f67030a0da4d7b746ca43,884,100,14,,,0,0,0
mostaza,"heinz, yellow mustard",68b1918a153383607ab87865,689f67210a0da4d7b746ca4f,66,0,0,,1083,8.3,0,0
polvo proteina,-,689f67b40a0da4d7b746ca60,689f672d0a0da4d7b746ca55,440,8.3,1.6,0,100,11.6,0,80
semillas de chia,-,68b1918a153383607ab87865,689f673d0a0da4d7b746ca58,500,30,3.3,,,43,33,17
banana,-,689f67bb0a0da4d7b746ca63,689f2889f0a99383e5d926a5,89,0.3,0.1,0,1,23,2.6,1.1
mandarina,-,689f67bb0a0da4d7b746ca63,689f2889f0a99383e5d926a5,53,0.3,0,0,1,13,1.8,0.8
frutilla,-,689f67bb0a0da4d7b746ca63,689f2889f0a99383e5d926a5,32,0.3,0,0,1,7.7,2,0.7
sandia,-,689f67bb0a0da4d7b746ca63,689f2889f0a99383e5d926a5,30,0.2,0,0,1,7.6,0.4,0.6
mazana,-,689f67bb0a0da4d7b746ca63,689f2889f0a99383e5d926a5,52,0.2,0,0,1,14,2.4,0.3
papa,crudo,689f67bb0a0da4d7b746ca63,689f2750980d926def951174,58,0.1,0,0,10,12,2.5,2.6
zapallo,crudo,689f67bb0a0da4d7b746ca63,689f2750980d926def951174,26,0.1,0.1,0,1,6.5,0.5,1
batata,crudo,689f67bb0a0da4d7b746ca63,689f2750980d926def951174,86,1,,0,55,20,3,1.6
palta,-,689f67c40a0da4d7b746ca66,689f2750980d926def951174,160,15,2.1,,7,8.5,6.7,2
frutos secos,,689f67c40a0da4d7b746ca66,689f672d0a0da4d7b746ca55,,,,,,,,
vino,-,68b1918a153383607ab87865,689f67260a0da4d7b746ca52,85,0,0,,4,2.6,0,0.1
cerveza,-,68b1918a153383607ab87865,689f67260a0da4d7b746ca52,43,0,0,,4,3.6,0,0.5
pan lactal,integral,689f67bb0a0da4d7b746ca63,689f671b0a0da4d7b746ca4c,288,3.6,1,,428,50,1.2,4.4
rapiditas,integral,689f67bb0a0da4d7b746ca63,689f671b0a0da4d7b746ca4c,280,6,3,,260,47,6.9,9
